   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing FakeInvestigation.C+...
Begin Fake Investigation
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 20, 12017, 147, 108.958
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 21, 12018, 147, 108.962
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 22, 12018, 147, 108.962
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 23, 12023, 147, 108.985
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 24, 12023, 147, 108.985
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 25, 12025, 147, 108.994

Best Ellipse Parameters (Eta, Lxy, FOM): 2.4, 25, 108.994
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 16, 9177, 207, 94.7342
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 17, 9197, 211, 94.8195
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 18, 9207, 212, 94.8671
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 19, 9218, 213, 94.92
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 20, 9220, 217, 94.9104
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 21, 9232, 219, 94.9635
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 22, 9237, 221, 94.9798
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 23, 9241, 221, 95.0009
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 24, 9246, 224, 95.0121
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 25, 9250, 226, 95.0231
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 16, 9363, 221, 95.6405
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 17, 9380, 223, 95.7193
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 18, 9390, 230, 95.7366
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 19, 9398, 233, 95.7634
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 20, 9406, 235, 95.7952
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 21, 9407, 237, 95.7905
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 22, 9411, 237, 95.8114
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 23, 9416, 239, 95.8275
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 24, 9421, 239, 95.8536
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.1, 25, 9423, 239, 95.864
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 16, 9500, 239, 96.2646
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 17, 9516, 240, 96.3426
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 18, 9520, 244, 96.3436
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 19, 9526, 246, 96.3649
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 20, 9530, 248, 96.3758
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 21, 9533, 248, 96.3913
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 22, 9536, 248, 96.4069
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 23, 9540, 250, 96.4178
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 24, 9541, 252, 96.4131
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.2, 25, 9542, 252, 96.4183
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 16, 9601, 245, 96.7579
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 17, 9617, 249, 96.8209
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 18, 9625, 251, 96.8524
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 19, 9630, 254, 96.8634
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 20, 9634, 255, 96.8792
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 21, 9638, 258, 96.8851
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 22, 9639, 258, 96.8903
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 23, 9642, 258, 96.9057
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 24, 9642, 259, 96.9009
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.3, 25, 9643, 260, 96.9011
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 16, 9684, 256, 97.1318
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 17, 9696, 258, 97.1838
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 18, 9701, 261, 97.1948
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 19, 9704, 263, 97.2005
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 20, 9709, 264, 97.2213
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 21, 9712, 265, 97.2319
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 22, 9714, 266, 97.2373
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 23, 9716, 266, 97.2476
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 24, 9717, 266, 97.2527
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2.4, 25, 9718, 266, 97.2578

Best Ellipse Parameters (Eta, Lxy, FOM): 2.4, 25, 97.2578
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 16, 6128, 273, 76.594
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 17, 6141, 278, 76.6488
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 18, 6149, 289, 76.6353
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 19, 6158, 298, 76.6404
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 20, 6163, 305, 76.6315
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 21, 6167, 313, 76.6102
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 22, 6170, 319, 76.5943
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 23, 6172, 323, 76.5837
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 24, 6175, 328, 76.5738
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2, 25, 6177, 333, 76.5574
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 16, 6259, 301, 77.2775
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 17, 6272, 311, 77.3026
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 18, 6278, 321, 77.2827
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 19, 6284, 329, 77.2746
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 20, 6288, 334, 77.2713
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 21, 6290, 346, 77.2142
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 22, 6293, 347, 77.2278
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 23, 6294, 350, 77.2168
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.2, 151500, 2.1, 24, 6299, 357, 77.2085
