   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 1.60455, 10.301, 0.608641, 10.443, 1.17302, 10.5087, 11.1173, 9.90001, 0.115966, 0.057983
px, py, pz, p1, m1, e, num, den, ln, y: 5.23718, 14.2821, -22.0097, 26.755, 1.87822, 26.8209, 4.81118, 48.8306, -2.31741, -1.15871
px, py, pz, p1, m1, e, num, den, ln, y: -3.14491, -28.5206, 43.3288, 51.9683, 3.13169, 52.0625, 95.3914, 8.73371, 2.3908, 1.1954
px, py, pz, p1, m1, e, num, den, ln, y: 8.05423, 20.2591, -13.6419, 25.7177, 3.07758, 25.9012, 12.2594, 39.5431, -1.1711, -0.58555
px, py, pz, p1, m1, e, num, den, ln, y: -25.075, -12.8102, -0.00745869, 28.1577, 1.95216, 28.2253, 28.2179, 28.2328, -0.00052851, -0.000264255
px, py, pz, p1, m1, e, num, den, ln, y: -29.1032, -13.3854, 35.3519, 47.7066, 3.03433, 47.803, 83.1548, 12.4511, 1.8989, 0.949448
px, py, pz, p1, m1, e, num, den, ln, y: 0.547229, -15.7229, -51.1863, 53.5495, 3.05589, 53.6366, 2.45031, 104.823, -3.75606, -1.87803
px, py, pz, p1, m1, e, num, den, ln, y: -20.0565, -7.83654, -83.8301, 86.5515, 3.10384, 86.6072, 2.77703, 170.437, -4.11698, -2.05849
px, py, pz, p1, m1, e, num, den, ln, y: -4.62492, -9.7436, 4.78438, 11.7991, 3.08897, 12.1967, 16.9811, 7.41233, 0.828955, 0.414478
px, py, pz, p1, m1, e, num, den, ln, y: 0.15727, -15.3373, 7.99282, 17.2957, 3.07409, 17.5668, 25.5596, 9.57398, 0.981964, 0.490982
px, py, pz, p1, m1, e, num, den, ln, y: -10.9923, 25.7309, 37.9196, 47.1254, 3.12652, 47.229, 85.1486, 9.30946, 2.21337, 1.10668
px, py, pz, p1, m1, e, num, den, ln, y: 24.0244, -14.1192, -36.1734, 45.6623, 3.1066, 45.7678, 9.5944, 81.9412, -2.14482, -1.07241
px, py, pz, p1, m1, e, num, den, ln, y: 5.12803, 9.44642, 1.05527, 10.8002, 3.03191, 11.2177, 12.273, 10.1625, 0.188702, 0.0943508
px, py, pz, p1, m1, e, num, den, ln, y: 3.91028, 32.4154, -16.1047, 36.4062, 1.88267, 36.4548, 20.3502, 52.5595, -0.948858, -0.474429
px, py, pz, p1, m1, e, num, den, ln, y: 19.3646, -12.6685, -35.0685, 42.0152, 1.15717, 42.0312, 6.96264, 77.0997, -2.40454, -1.20227
px, py, pz, p1, m1, e, num, den, ln, y: 7.34593, -2.33302, -14.8959, 16.7718, 2.62934, 16.9767, 2.08076, 31.8726, -2.72901, -1.36451
px, py, pz, p1, m1, e, num, den, ln, y: -15.6516, -22.8245, -16.2185, 32.0776, 3.11266, 32.2282, 16.0098, 48.4467, -1.10726, -0.553632
px, py, pz, p1, m1, e, num, den, ln, y: -16.1917, 18.9492, -45.7898, 52.134, 3.03929, 52.2225, 6.43267, 98.0123, -2.7237, -1.36185
px, py, pz, p1, m1, e, num, den, ln, y: -1.11031, -9.53915, 29.5676, 31.0881, 1.13734, 31.1089, 60.6766, 1.54131, 3.67292, 1.83646
px, py, pz, p1, m1, e, num, den, ln, y: 15.2034, -33.9116, -11.4315, 38.8821, 2.97829, 38.996, 27.5645, 50.4275, -0.604006, -0.302003
px, py, pz, p1, m1, e, num, den, ln, y: 2.734, -34.2695, -20.3141, 39.9316, 3.14516, 40.0553, 19.7412, 60.3693, -1.11777, -0.558887
px, py, pz, p1, m1, e, num, den, ln, y: 22.1717, -6.09139, -6.7058, 23.9511, 3.09225, 24.1499, 17.4441, 30.8557, -0.570319, -0.285159
px, py, pz, p1, m1, e, num, den, ln, y: -15.673, -13.024, 25.3469, 32.5228, 1.19705, 32.5448, 57.8917, 7.19793, 2.08478, 1.04239
px, py, pz, p1, m1, e, num, den, ln, y: 9.33731, 6.77966, -37.759, 39.4828, 1.13637, 39.4992, 1.74015, 77.2582, -3.79318, -1.89659
px, py, pz, p1, m1, e, num, den, ln, y: -3.73631, 4.64242, -8.20859, 10.1436, 8.59467, 13.2952, 5.08657, 21.5038, -1.44162, -0.720812
px, py, pz, p1, m1, e, num, den, ln, y: 4.58383, -8.23942, -0.0105937, 9.42867, 0.976807, 9.47913, 9.46854, 9.48972, -0.00223517, -0.00111758
px, py, pz, p1, m1, e, num, den, ln, y: -29.7213, 6.19755, 19.9365, 36.3212, 0.332421, 36.3227, 56.2593, 16.3862, 1.23353, 0.616767
px, py, pz, p1, m1, e, num, den, ln, y: 12.2673, -13.744, 32.4357, 37.3023, 0.869419, 37.3124, 69.7481, 4.87667, 2.66043, 1.33021
px, py, pz, p1, m1, e, num, den, ln, y: 10.09, -38.2837, -24.9846, 46.8153, 2.99225, 46.9108, 21.9263, 71.8954, -1.18753, -0.593763
px, py, pz, p1, m1, e, num, den, ln, y: 7.78767, -4.03532, 5.95323, 10.6006, 3.09163, 11.0422, 16.9955, 5.08899, 1.20587, 0.602933
px, py, pz, p1, m1, e, num, den, ln, y: -31.502, 17.2003, 39.486, 53.3607, 3.12084, 53.4519, 92.9379, 13.966, 1.89531, 0.947654
px, py, pz, p1, m1, e, num, den, ln, y: 8.54821, -42.3123, -26.2836, 50.5393, 3.18266, 50.6394, 24.3559, 76.923, -1.15003, -0.575016
px, py, pz, p1, m1, e, num, den, ln, y: -1.67676, 24.148, -0.268175, 24.2076, 3.1053, 24.4059, 24.1378, 24.6741, -0.0219771, -0.0109886
px, py, pz, p1, m1, e, num, den, ln, y: 7.69325, 6.87974, 12.196, 15.9768, 2.969, 16.2504, 28.4463, 4.05437, 1.94822, 0.974112
px, py, pz, p1, m1, e, num, den, ln, y: -5.79815, -20.7878, 54.8718, 58.9632, 3.11328, 59.0454, 113.917, 4.1736, 3.30669, 1.65335
px, py, pz, p1, m1, e, num, den, ln, y: -41.3214, 13.9978, 142.934, 149.444, 2.74673, 149.469, 292.404, 6.5353, 3.80092, 1.90046
px, py, pz, p1, m1, e, num, den, ln, y: 18.4551, -0.58482, 60.4155, 63.1741, 0.779135, 63.1789, 123.594, 2.76338, 3.80055, 1.90027
px, py, pz, p1, m1, e, num, den, ln, y: 12.8808, -28.1219, -78.2635, 84.1542, 3.09969, 84.2113, 5.9478, 162.475, -3.3075, -1.65375
px, py, pz, p1, m1, e, num, den, ln, y: -113.293, -23.7922, -116.154, 163.991, 2.985, 164.018, 47.8641, 280.172, -1.76704, -0.883518
px, py, pz, p1, m1, e, num, den, ln, y: 20.5739, 3.04472, -48.1577, 52.4568, 3.11858, 52.5494, 4.39177, 100.707, -3.13248, -1.56624
px, py, pz, p1, m1, e, num, den, ln, y: 16.7577, 17.4645, -38.5118, 45.4862, 3.10134, 45.5918, 7.07995, 84.1036, -2.47478, -1.23739
px, py, pz, p1, m1, e, num, den, ln, y: 12.4332, 55.7189, -56.4058, 80.2545, 3.08447, 80.3138, 23.908, 136.72, -1.74372, -0.871859
px, py, pz, p1, m1, e, num, den, ln, y: 10.9586, -11.5268, 1.37298, 15.9638, 1.56816, 16.0406, 17.4136, 14.6677, 0.171608, 0.0858038
px, py, pz, p1, m1, e, num, den, ln, y: 17.4629, 30.7607, -14.775, 38.3337, 3.08128, 38.4573, 23.6824, 53.2323, -0.809935, -0.404967
px, py, pz, p1, m1, e, num, den, ln, y: 2.30107, 18.9783, 4.15065, 19.5627, 3.08442, 19.8043, 23.955, 15.6537, 0.42547, 0.212735
px, py, pz, p1, m1, e, num, den, ln, y: -15.3065, 5.30429, 3.18921, 16.5104, 3.10668, 16.8002, 19.9894, 13.611, 0.384326, 0.192163
px, py, pz, p1, m1, e, num, den, ln, y: -6.43451, -8.73852, -9.90361, 14.6917, 0.386949, 14.6968, 4.79319, 24.6004, -1.63557, -0.817783
px, py, pz, p1, m1, e, num, den, ln, y: -8.93791, 23.2083, 42.2454, 49.0222, 3.03273, 49.116, 91.3613, 6.87061, 2.58757, 1.29378
px, py, pz, p1, m1, e, num, den, ln, y: -24.733, 32.434, -78.9047, 88.8236, 3.04537, 88.8758, 9.9711, 167.781, -2.82297, -1.41148
