   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing FakeInvestigation.C+...
Begin Fake Investigation
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 14, 11755, 135, 107.803
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.2, 15, 11777, 137, 107.896
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 7, 10438, 116, 101.604
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 8, 10975, 125, 104.17
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 9, 11327, 129, 105.827
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 10, 11562, 133, 106.914
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 11, 11693, 138, 107.502
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 12, 11775, 139, 107.878
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 13, 11834, 140, 108.146
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 14, 11875, 141, 108.331
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.3, 15, 11896, 143, 108.419
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 7, 10561, 118, 102.197
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 8, 11090, 127, 104.711
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 9, 11441, 130, 106.36
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 10, 11661, 134, 107.371
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 11, 11789, 139, 107.943
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 12, 11874, 140, 108.331
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 13, 11924, 142, 108.553
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 14, 11964, 143, 108.732
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.05, 146788, 2.4, 15, 11986, 145, 108.824

Best Ellipse Parameters (Eta, Lxy, FOM): 2.4, 15, 108.824
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 7, 7711, 128, 87.0924
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 8, 8160, 141, 89.5622
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 9, 8520, 151, 91.4966
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 10, 8743, 163, 92.6444
In Progress (Mass, cT, NumEventsInSample, Eta, Lxy, Signal, Background, FOM): 0.25, 0.1, 143250, 2, 11, 8896, 173, 93.4147
